Attention,BrainWave,Meditation,Polar_HR
n/a,1.0,n/a,1.0
0.991,1.0,0.991,0.92
1.0,1.0,1.0,n/a
1.0,1.0,1.0,0.619
0.993,1.0,0.993,1.0
0.995,1.0,0.995,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.996,1.0,0.996,1.0
0.996,1.0,0.996,1.0
0.996,1.0,0.996,1.0
0.998,1.0,0.998,n/a
1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.997
0.995,1.0,0.995,1.0
0.996,1.0,0.996,1.0
0.995,1.0,0.995,1.0
0.996,1.0,0.996,n/a
0.681,1.0,0.681,1.0
n/a,1.0,n/a,n/a
0.993,1.0,0.993,n/a
0.415,1.0,0.415,0.615
0.644,1.0,0.644,1.0
0.99,1.0,0.99,1.0
0.993,1.0,0.993,1.0
0.995,1.0,0.995,1.0
0.993,1.0,0.993,1.0
0.386,1.0,0.386,0.991
0.995,1.0,0.995,n/a
0.993,1.0,0.993,n/a
0.987,1.0,0.987,1.0
0.994,1.0,0.994,1.0
