Attention,BrainWave,Meditation,Polar_HR
n/a,0 (0.000),n/a,0 (0.000)
14 (0.009),0 (0.000),14 (0.009),125 (0.080)
0 (0.000),0 (0.000),0 (0.000),n/a
0 (0.000),0 (0.000),0 (0.000),362 (0.381)
9 (0.007),0 (0.000),9 (0.007),0 (0.000)
6 (0.005),0 (0.000),6 (0.005),0 (0.000)
0 (0.000),0 (0.000),0 (0.000),0 (0.000)
0 (0.000),0 (0.000),0 (0.000),0 (0.000)
5 (0.004),0 (0.000),5 (0.004),0 (0.000)
6 (0.004),0 (0.000),6 (0.004),0 (0.000)
5 (0.004),0 (0.000),5 (0.004),0 (0.000)
2 (0.002),0 (0.000),2 (0.002),n/a
0 (0.000),0 (0.000),0 (0.000),0 (0.000)
0 (0.000),0 (0.000),0 (0.000),4 (0.003)
5 (0.005),0 (0.000),5 (0.005),0 (0.000)
4 (0.004),0 (0.000),4 (0.004),0 (0.000)
6 (0.005),0 (0.000),6 (0.005),0 (0.000)
5 (0.004),0 (0.000),5 (0.004),n/a
478 (0.319),0 (0.000),478 (0.319),0 (0.000)
n/a,0 (0.000),n/a,n/a
6 (0.007),0 (0.000),6 (0.007),n/a
456 (0.585),0 (0.000),456 (0.585),413 (0.385)
294 (0.356),0 (0.000),294 (0.356),0 (0.000)
6 (0.010),0 (0.000),6 (0.010),0 (0.000)
6 (0.007),0 (0.000),6 (0.007),0 (0.000)
4 (0.005),0 (0.000),4 (0.005),0 (0.000)
6 (0.007),0 (0.000),6 (0.007),0 (0.000)
568 (0.614),0 (0.000),568 (0.614),8 (0.009)
5 (0.005),0 (0.000),5 (0.005),n/a
6 (0.007),0 (0.000),6 (0.007),n/a
13 (0.013),0 (0.000),13 (0.013),0 (0.000)
6 (0.006),0 (0.000),6 (0.006),0 (0.000)
