ACC,BVP,EDA,HR,IBI,TEMP
0.998,0.978,1.0,0.989,0.973,1.0
n/a,n/a,n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a,n/a,n/a
0.994,0.983,0.999,0.977,0.95,1.0
0.999,0.979,0.989,0.992,0.961,1.0
n/a,n/a,n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a,n/a,n/a
0.999,0.991,0.956,0.973,0.979,1.0
0.997,0.982,0.964,0.968,0.972,1.0
0.996,0.984,0.998,0.981,0.988,0.981
0.978,0.986,0.999,0.975,0.965,1.0
0.977,0.984,1.0,0.966,0.976,1.0
0.975,0.985,0.999,0.982,0.985,1.0
0.988,0.977,1.0,0.974,0.963,0.981
0.994,0.979,0.999,1.0,0.944,1.0
0.993,0.983,0.998,0.998,0.967,1.0
0.984,0.986,0.000248,1.0,0.997,0.947
0.993,0.98,0.949,1.0,0.961,0.999
0.976,0.979,0.999,0.998,0.967,0.999
0.99,0.995,0.0,0.973,0.976,0.998
0.965,0.987,0.991,0.998,0.982,0.988
0.994,0.985,0.999,0.987,0.994,0.98
0.993,0.98,0.997,1.0,0.9,0.97
0.998,0.979,0.998,0.983,0.993,0.998
0.998,0.983,1.0,1.0,0.997,1.0
0.992,0.981,0.999,1.0,n/a,1.0
0.998,0.979,0.997,1.0,0.988,1.0
0.973,0.989,0.999,0.97,0.944,1.0
0.999,0.983,0.999,0.963,0.987,1.0
0.989,0.981,1.0,0.966,0.95,1.0
0.998,0.982,1.0,0.996,0.991,1.0
0.999,0.988,0.998,1.0,0.986,0.986
