ACC,BVP,EDA,HR,IBI,TEMP
1574,1574,1574,1564,1464,1574
n/a,n/a,n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a,n/a,n/a
984,984,984,974,54,984
1560,1560,1560,1550,1254,1560
n/a,n/a,n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a,n/a,n/a
1279,1279,1279,1269,1253,1279
1488,1488,1488,1478,1462,1488
1503,1503,1503,1493,1345,1503
1227,1227,1227,1217,1195,1227
1219,1219,1219,1209,1060,1219
1108,1108,1108,1098,1089,1108
1105,1105,1105,1095,1081,1105
1047,1047,1047,1037,955,1047
1029,1029,1029,1019,732,1029
1008,1008,1008,997,699,1006
1447,1447,1447,1437,1368,1447
1706,1706,1706,1696,1242,1706
1682,1682,1682,1672,1604,1682
966,966,966,956,953,966
888,888,888,878,872,888
973,973,973,963,708,973
942,942,942,932,821,942
921,921,921,911,898,921
877,877,877,867,n/a,877
1287,1287,1287,1277,1254,1287
1297,1297,1297,1287,485,1297
1094,1094,1094,1084,1072,1094
1001,1001,1001,991,908,1001
1080,1080,1080,1070,1022,1080
1134,1134,1134,1124,1114,1134
